"Kernel Name"	"gpu_tot_sim_insn\s*=\s*(.*)"	"gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*"	"gpu_tot_sim_cycle\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+L2_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[HIT\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_W\]\[TOTAL_ACCESS\]\s*=\s*(.*)"	"\s+Total_core_cache_stats_breakdown\[GLOBAL_ACC_R\]\[MSHR_HIT\]\s*=\s*(.*)"	"gpgpu_n_tot_w_icount\s*=\s*(.*)"	"total dram reads\s*=\s*(.*)"	"total dram writes\s*=\s*(.*)"	"kernel_launch_uid\s*=\s*(.*)"	"gpu_ipc\s*=\s*(.*)"	"gpu_occupancy\s*=\s*(.*)%"	"L2_BW\s*=\s*(.*)+GB\/Sec"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\)"	"gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\)"	"gpgpu_silicon_slowdown\s*=\s*(.*)x"	"gpu_tot_ipc\s*=\s*(.*)"	"Kernel Name (Demangled)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BUnaryFunctorINS0_10AddFunctorIfEEEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--7"	3548.0	4.0	5646.0	47.0	48.0	0.0	48.0	48.0	0.0	0.0	48.0	0.0	130.0	1.0	40.0	1.0	0.6284	2.8549	""	912489.0	303.0	4775577.0	3010.7532	"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2>)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10DivFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--5"	22861440.0	22.0	9900.0	37418.0	37422.0	0.0	36288.0	45360.0	6372.0	0.0	36288.0	1566.0	798336.0	1.0	14840.0	1.0	2309.2363	42.6427	""	912704.0	303.0	4775577.0	3008.9805	"void at::native::unrolled_elementwise_kernel<at::native::DivFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::DivFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--27"	15748992.0	21.0	9901.0	43650.0	43968.0	0.0	36288.0	72576.0	14.0	0.0	36288.0	28594.0	548856.0	96.0	7468.0	1.0	1590.6466	42.2731	""	912440.0	303.0	4775577.0	3005.405	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"volta_sgemm_128x64_tn--2"	1081002240.0	805.0	219948.0	2116660.0	2612880.0	0.0	0.0	2612880.0	0.0	0.0	0.0	0.0	33891840.0	308168.0	178756.0	1.0	4914.8081	11.7738	""	937654.0	301.0	4807308.0	3106.6606	"volta_sgemm_128x64_tn"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--28"	62995968.0	73.0	19830.0	26778.0	173184.0	145152.0	145152.0	290304.0	62537.0	145152.0	145152.0	54583.0	2195424.0	145536.0	6596.0	1.0	3176.8013	86.0286	""	937259.0	301.0	4807308.0	3106.9944	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_16MulScalarFunctorIffEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--9"	5225472.0	56.0	21057.0	95036.0	145152.0	0.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	181440.0	50116.0	144380.0	1.0	248.1584	73.6605	""	933852.0	301.0	4807308.0	3092.6221	"void at::native::vectorized_elementwise_kernel<4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2> >(int, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_68_GLOBAL__N__44_tmpxft_000124ca_00000000_7_PowKernel_cpp1_ii_639c21f929pow_tensor_scalar_kernel_implIffEEvRNS_14TensorIteratorET0_EUlfE1_NS_6detail5ArrayIPcLi2EEEEEviS6_T1_--2"	6386688.0	78.0	24695.0	64.0	145152.0	0.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	217728.0	145088.0	167008.0	1.0	258.6227	88.2765	""	929088.0	302.0	4791390.0	3076.011	"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIterator&, float)::{lambda(float)#3}, at::detail::Array<char*, 2> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIterator&, float)::{lambda(float)#3}, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_16MulScalarFunctorIffEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--10"	5225472.0	60.0	20969.0	41484.0	145152.0	0.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	181440.0	103668.0	132040.0	1.0	249.1999	77.4383	""	925482.0	302.0	4791390.0	3062.0117	"void at::native::vectorized_elementwise_kernel<4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2> >(int, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--9"	6096384.0	141.0	35872.0	2952.0	290304.0	0.0	145152.0	290304.0	0.0	0.0	145152.0	0.0	208656.0	287352.0	197560.0	1.0	169.9483	84.6764	""	916691.0	301.0	4807308.0	3037.7161	"void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_16MulScalarFunctorIffEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--11"	5225472.0	60.0	20443.0	7108.0	145152.0	32.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	181440.0	138044.0	100768.0	1.0	255.6118	84.7122	""	913188.0	301.0	4807308.0	3024.46	"void at::native::vectorized_elementwise_kernel<4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2> >(int, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_16tanh_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE0_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_--2"	19631294.0	66.0	20473.0	46580.0	145152.0	0.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	1015921.0	98572.0	133788.0	1.0	958.887	78.2526	""	910341.0	301.0	4807308.0	3014.6504	"void at::native::vectorized_elementwise_kernel<4, at::native::tanh_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2> >(int, at::native::tanh_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BUnaryFunctorINS0_10AddFunctorIfEEEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--8"	5515776.0	61.0	21244.0	47348.0	145152.0	0.0	145152.0	145152.0	0.0	0.0	145152.0	0.0	190512.0	97804.0	147864.0	1.0	259.6393	78.6875	""	906852.0	302.0	4791390.0	3001.1404	"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10MulFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--2"	6096384.0	144.0	36520.0	2432.0	290304.0	0.0	145152.0	290304.0	0.0	0.0	145152.0	0.0	208656.0	287872.0	198352.0	1.0	166.9328	84.93	""	898256.0	301.0	4807308.0	2977.4482	"void at::native::vectorized_elementwise_kernel<4, at::native::MulFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::MulFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native66_GLOBAL__N__42_tmpxft_0001261b_00000000_7_Dropout_cpp1_ii_6a946dbb24fused_dropout_kernel_vecIffjLi1ELi4EEEvNS_4cuda6detail10TensorInfoIT_T1_EES8_NS5_IhS7_EES7_T0_St4pairImmE--13"	51211776.0	89.0	25656.0	6716.0	145152.0	0.0	181440.0	145152.0	0.0	0.0	181440.0	0.0	1642944.0	138436.0	127220.0	1.0	1996.0935	89.8507	""	896284.0	301.0	4807308.0	2971.7188	"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<unsigned char, unsigned int>, unsigned int, float, std::pair<unsigned long, unsigned long>)"
"volta_sgemm_32x128_tn--2"	1395000064.0	1110.0	261078.0	3678842.0	4183996.0	855.0	864.0	4231872.0	26935.0	0.0	864.0	20941.0	44218106.0	401990.0	139344.0	1.0	5343.231	48.0076	""	921802.0	296.0	4888513.0	3104.7131	"volta_sgemm_32x128_tn"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--29"	15748992.0	21.0	9986.0	7329.0	43968.0	36288.0	36288.0	72576.0	3.0	36288.0	36288.0	28605.0	548856.0	36384.0	68.0	1.0	1577.1072	41.7707	""	921572.0	297.0	4872053.0	3101.4434	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native66_GLOBAL__N__42_tmpxft_0001261b_00000000_7_Dropout_cpp1_ii_6a946dbb24fused_dropout_kernel_vecIffjLi1ELi4EEEvNS_4cuda6detail10TensorInfoIT_T1_EES8_NS5_IhS7_EES7_T0_St4pairImmE--14"	22851072.0	26.0	10965.0	36288.0	36288.0	0.0	45360.0	36288.0	0.0	0.0	45360.0	0.0	730556.0	0.0	0.0	1.0	2084.001	68.048	""	921501.0	297.0	4872053.0	3099.0579	"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<unsigned char, unsigned int>, unsigned int, float, std::pair<unsigned long, unsigned long>)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEEEEviT0_T1_--10"	1524096.0	15.0	8244.0	36288.0	72576.0	36288.0	36288.0	72576.0	0.0	0.0	36288.0	0.0	52164.0	36288.0	0.0	1.0	184.8734	37.3359	""	920720.0	297.0	4872053.0	3093.9294	"void at::native::vectorized_elementwise_kernel<4, at::native::AddFunctor<float>, at::detail::Array<char*, 3> >(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>)"
"_ZN2at6native66_GLOBAL__N__42_tmpxft_0001261b_00000000_7_Dropout_cpp1_ii_6a946dbb24fused_dropout_kernel_vecIffjLi1ELi4EEEvNS_4cuda6detail10TensorInfoIT_T1_EES8_NS5_IhS7_EES7_T0_St4pairImmE--15"	22851072.0	26.0	11162.0	36288.0	36288.0	36288.0	45360.0	36288.0	0.0	0.0	45360.0	0.0	730556.0	0.0	0.0	1.0	2047.2202	68.1078	""	920651.0	297.0	4872053.0	3091.4414	"void at::native::(anonymous namespace)::fused_dropout_kernel_vec<float, float, unsigned int, 1, 4>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<unsigned char, unsigned int>, unsigned int, float, std::pair<unsigned long, unsigned long>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_7MeanOpsIffEEjfLi4EEEEEvT1_--6"	2381700.0	9.0	8604.0	36288.0	36288.0	330.0	378.0	36288.0	0.0	330.0	378.0	0.0	83814.0	0.0	0.0	1.0	276.8131	24.8338	""	920277.0	298.0	4855704.0	3086.2937	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)"
"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIfNS0_10WelfordOpsIffifN6thrust4pairIffEEEEjfLi2EEEEEvT1_--6"	13966708.0	24.0	17273.0	36288.0	36288.0	330.0	378.0	36288.0	0.0	330.0	378.0	0.0	543826.0	1536.0	0.0	1.0	808.5861	24.7718	""	919763.0	298.0	4855704.0	3077.9614	"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::WelfordOps<float, float, int, float, thrust::pair<float, float> >, unsigned int, float, 2> >(at::native::ReduceOp<float, at::native::WelfordOps<float, float, int, float, thrust::pair<float, float> >, unsigned int, float, 2>)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--30"	15748992.0	18.0	8572.0	37418.0	37422.0	36288.0	36288.0	45360.0	6369.0	0.0	36288.0	1569.0	548856.0	1.0	0.0	1.0	1837.2599	42.053	""	919712.0	299.0	4839464.0	3075.7131	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10MulFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--6"	15748992.0	21.0	9961.0	43637.0	43968.0	0.0	36288.0	72576.0	49.0	0.0	36288.0	28559.0	548856.0	96.0	0.0	1.0	1581.0653	42.2141	""	919487.0	299.0	4839464.0	3072.572	"void at::native::unrolled_elementwise_kernel<at::native::MulFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::MulFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BUnaryFunctorINS0_10AddFunctorIfEEEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--9"	3548.0	4.0	5642.0	47.0	48.0	0.0	48.0	48.0	0.0	0.0	48.0	0.0	130.0	1.0	0.0	1.0	0.6289	2.8553	""	919255.0	299.0	4839464.0	3068.9202	"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::BUnaryFunctor<at::native::AddFunctor<float> >, at::detail::Array<char*, 2>)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10DivFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--6"	22861440.0	22.0	9956.0	37418.0	37422.0	0.0	36288.0	45360.0	6312.0	0.0	36288.0	1626.0	798336.0	1.0	5433.0	1.0	2296.2476	42.6145	""	919421.0	299.0	4839464.0	3067.3025	"void at::native::unrolled_elementwise_kernel<at::native::DivFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::DivFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--31"	15748992.0	21.0	9865.0	43623.0	43968.0	0.0	36288.0	72576.0	0.0	0.0	36288.0	28608.0	548856.0	96.0	5744.0	1.0	1596.4513	42.2773	""	919197.0	299.0	4839464.0	3064.2578	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"volta_sgemm_64x32_sliced1x4_tn--12"	320776704.0	264.0	71982.0	1142261.0	1265184.0	0.0	0.0	1265184.0	0.0	0.0	0.0	0.0	10075392.0	70656.0	67360.0	1.0	4456.3462	23.5192	""	924033.0	299.0	4839464.0	3084.9714	"volta_sgemm_64x32_sliced1x4_tn"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--32"	15748992.0	21.0	9920.0	43633.0	43968.0	36288.0	36288.0	72576.0	41.0	36288.0	36288.0	28567.0	548856.0	96.0	96.0	1.0	1587.6	42.2008	""	923807.0	299.0	4839464.0	3081.9072	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"volta_sgemm_64x32_sliced1x4_tn--13"	320776704.0	264.0	72308.0	1147482.0	1265184.0	0.0	0.0	1265184.0	0.0	0.0	0.0	0.0	10075392.0	70804.0	54736.0	1.0	4436.2549	23.5212	""	928486.0	299.0	4839464.0	3101.8123	"volta_sgemm_64x32_sliced1x4_tn"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--33"	15748992.0	22.0	9872.0	7332.0	43968.0	36288.0	36288.0	72576.0	0.0	36288.0	36288.0	28608.0	548856.0	36384.0	60.0	1.0	1595.3193	41.9506	""	928201.0	299.0	4839464.0	3098.7954	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"volta_sgemm_64x32_sliced1x4_tn--14"	320776704.0	264.0	72107.0	1143828.0	1265184.0	0.0	0.0	1265184.0	0.0	0.0	0.0	0.0	10075392.0	70700.0	36156.0	1.0	4448.6211	23.5251	""	932730.0	299.0	4839464.0	3118.2546	"volta_sgemm_64x32_sliced1x4_tn"
"_ZN2at6native27unrolled_elementwise_kernelINS0_10AddFunctorIfEENS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjES8_ILi1EjENS0_6memory15LoadWithoutCastENSB_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--34"	15748992.0	22.0	9954.0	7327.0	43968.0	36288.0	36288.0	72576.0	0.0	36288.0	36288.0	28608.0	548856.0	36384.0	636.0	1.0	1582.1772	41.5159	""	932445.0	299.0	4839464.0	3115.2036	"void at::native::unrolled_elementwise_kernel<at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::AddFunctor<float>, at::detail::Array<char*, 3>, OffsetCalculator<2, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--12"	17926272.0	22.0	10656.0	0.0	36288.0	0.0	36288.0	36288.0	0.0	0.0	36288.0	0.0	635040.0	36288.0	41236.0	1.0	1682.2703	37.7079	""	932291.0	299.0	4839464.0	3112.1636	"void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_--13"	13862016.0	43.0	13171.0	204156.0	290304.0	0.0	36288.0	290304.0	0.0	0.0	36288.0	0.0	489888.0	36268.0	23940.0	1.0	1052.465	43.2499	""	930731.0	299.0	4839464.0	3106.7764	"void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"
"volta_sgemm_64x64_nn--6"	154013184.0	126.0	37499.0	399159.0	399159.0	0.0	0.0	417312.0	144.0	0.0	0.0	18009.0	4917024.0	0.0	12.0	1.0	4107.1279	15.7479	""	932900.0	299.0	4839464.0	3114.1704	"volta_sgemm_64x64_nn"
"_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_16MulScalarFunctorIffEENS_6detail5ArrayIPcLi2EEEEEviT0_T1_--12"	7717488.0	99.0	31023.0	0.0	214326.0	0.0	214326.0	214326.0	0.0	0.0	214326.0	0.0	267979.0	214326.0	207468.0	1.0	248.7667	88.7825	""	927931.0	299.0	4839464.0	3096.7546	"void at::native::vectorized_elementwise_kernel<4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2> >(int, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, 2>)"
